area_type,site_location,total_sqft,bath,balcony,bhk,price
Built-up  Area,other,1335.0,2.0,1.0,3.0,87.0
Super built-up  Area,other,1246.0,2.0,1.0,2.0,67.3
Super built-up  Area,other,1385.0,3.0,1.0,3.0,55.0
Super built-up  Area,Baner road,1578.0,3.0,1.0,3.0,73.9
Super built-up  Area,Bhandarkar Road,1140.0,2.0,2.0,2.0,46.0
Super built-up  Area,Bhavani Peth,1700.0,3.0,1.0,3.0,79.9
Built-up  Area,other,1120.0,2.0,1.0,2.0,70.0
Super built-up  Area,other,435.0,1.0,1.0,1.0,22.0
Super built-up  Area,other,1116.0,2.0,1.0,2.0,51.89
Super built-up  Area,other,1480.0,3.0,2.0,3.0,95.0
Built-up  Area,Chandan Nagar,1000.0,2.0,2.0,2.0,50.0
Super built-up  Area,other,1145.0,2.0,2.0,2.0,46.0
Super built-up  Area,other,800.0,1.0,1.0,2.0,32.0
Super built-up  Area,other,1265.0,2.0,1.0,2.0,83.0
Super built-up  Area,other,1700.0,3.0,0.0,3.0,88.2
Super built-up  Area,other,1475.0,2.0,1.0,2.0,70.0
Super built-up  Area,other,1265.0,2.0,2.0,2.0,55.0
Built-up  Area,other,1200.0,2.0,0.0,2.0,58.0
Super built-up  Area,other,2180.0,3.0,2.0,3.0,210.0
Super built-up  Area,Fergusson College Road,1080.0,2.0,3.0,2.0,50.0
Super built-up  Area,other,2023.0,4.0,2.0,3.0,130.0
Super built-up  Area,other,2400.0,2.0,3.0,2.0,125.0
Super built-up  Area,other,1545.0,2.0,2.0,3.0,66.0
Super built-up  Area,Ghorpadi,1804.0,3.0,2.0,3.0,166.0
Super built-up  Area,Gultekdi,1350.0,2.0,0.0,3.0,58.0
Super built-up  Area,other,1108.0,2.0,1.0,2.0,74.23
Super built-up  Area,other,1730.0,3.0,2.0,3.0,115.0
Super built-up  Area,Hadapsar Industrial Estate,1427.0,2.0,3.0,3.0,70.0
Super built-up  Area,Hingne Khurd,935.0,2.0,1.0,2.0,35.53
Super built-up  Area,other,1073.0,2.0,2.0,2.0,31.77
Built-up  Area,other,960.0,2.0,3.0,2.0,37.0
Super built-up  Area,other,2215.0,4.0,2.0,3.0,150.0
Built-up  Area,other,1125.0,2.0,1.0,2.0,32.49
Built-up  Area,other,1230.0,2.0,3.0,2.0,55.0
Super built-up  Area,other,1438.0,2.0,0.0,2.0,89.0
Super built-up  Area,other,1080.0,2.0,2.0,2.0,75.0
Plot  Area,Khadki,1200.0,3.0,0.0,3.0,125.0
Plot  Area,Kharadi,1200.0,1.0,1.0,2.0,103.0
Super built-up  Area,Kondhwa,1590.0,3.0,2.0,3.0,58.0
Super built-up  Area,Kondhwa Budruk,1350.0,3.0,2.0,3.0,68.0
Super built-up  Area,other,1400.0,2.0,2.0,3.0,48.0
Super built-up  Area,Koregaon Park,1560.0,2.0,3.0,3.0,72.0
Built-up  Area,other,1810.0,3.0,2.0,4.0,57.0
Super built-up  Area,other,2274.24,4.0,1.0,3.0,160.0
Super built-up  Area,other,1484.0,3.0,1.0,3.0,74.18
Built-up  Area,other,1650.0,3.0,3.0,3.0,220.0
Super built-up  Area,other,1455.0,2.0,2.0,3.0,55.0
Super built-up  Area,Mangalwar peth,2280.0,4.0,2.0,3.0,184.0
Built-up  Area,Market yard,2079.0,3.0,3.0,3.0,220.0
Super built-up  Area,other,1351.0,2.0,2.0,2.0,74.0
Super built-up  Area,other,1223.0,2.0,2.0,3.0,42.81
Super built-up  Area,Mundhawa,1430.0,2.0,1.0,3.0,61.0
Built-up  Area,other,3589.0,5.0,0.0,4.0,400.0
Super built-up  Area,other,1310.0,2.0,2.0,3.0,37.83
Plot  Area,Narayan Peth,1800.0,4.0,1.0,4.0,300.0
Super built-up  Area,other,984.0,2.0,1.0,2.0,55.0
Built-up  Area,other,1770.0,3.0,3.0,3.0,100.0
Plot  Area,Parvati Darshan,900.0,3.0,1.0,2.0,105.0
Super built-up  Area,Paud Road,1447.0,2.0,1.0,2.0,75.97
Built-up  Area,other,1140.0,2.0,1.0,2.0,60.0
Super built-up  Area,other,1170.0,2.0,3.0,2.0,34.0
Super built-up  Area,other,1160.0,2.0,2.0,2.0,46.39
Super built-up  Area,Rasta Peth,1296.0,2.0,1.0,2.0,89.0
Built-up  Area,other,1570.0,3.0,2.0,3.0,80.0
Super built-up  Area,Sadashiv Peth,1495.0,2.0,2.0,3.0,65.0
Super built-up  Area,other,1530.0,2.0,2.0,3.0,67.0
Super built-up  Area,Sasson Road,1800.0,3.0,1.0,3.0,70.0
Super built-up  Area,other,1088.0,2.0,2.0,2.0,48.0
Super built-up  Area,other,1533.0,3.0,1.0,3.0,98.18
Super built-up  Area,other,1100.0,2.0,1.0,2.0,68.0
Built-up  Area,other,1540.0,3.0,3.0,3.0,90.0
Super built-up  Area,other,1244.0,3.0,0.0,2.0,48.0
Super built-up  Area,other,1040.0,2.0,1.0,2.0,68.59
Super built-up  Area,Swargate,1260.0,2.0,1.0,2.0,39.69
Super built-up  Area,other,1180.0,2.0,1.0,2.0,41.3
Super built-up  Area,other,1245.0,2.0,2.0,2.0,100.0
Super built-up  Area,other,1350.0,3.0,0.0,3.0,75.0
Super built-up  Area,other,1464.0,3.0,2.0,3.0,56.0
Super built-up  Area,other,470.0,2.0,1.0,1.0,10.0
Super built-up  Area,Vishrant Wadi,920.0,2.0,2.0,2.0,60.0
Built-up  Area,other,2300.0,7.0,0.0,6.0,160.0
Super built-up  Area,other,1124.0,2.0,1.0,2.0,30.35
Super built-up  Area,other,2095.0,3.0,1.0,4.0,109.0
Super built-up  Area,Warje,1100.0,2.0,1.0,2.0,71.42
Super built-up  Area,Yerawada,1019.0,2.0,1.0,2.0,58.0
Super built-up  Area,Alandi Road,1756.0,3.0,2.0,3.0,128.0
Super built-up  Area,other,1280.0,3.0,1.0,3.0,50.0
Plot  Area,other,1200.0,3.0,2.0,4.0,125.0
Super built-up  Area,other,1700.0,3.0,2.0,3.0,150.0
Super built-up  Area,other,2134.0,4.0,2.0,3.0,118.0
Super built-up  Area,other,1369.1,2.0,1.0,2.0,98.0
Plot  Area,Baner road,1313.0,4.0,0.0,3.0,150.0
Super built-up  Area,Bhandarkar Road,2515.0,4.0,3.0,3.0,155.0
Super built-up  Area,Bhavani Peth,2215.0,4.0,2.0,3.0,154.0
Super built-up  Area,other,1440.0,3.0,2.0,3.0,72.0
Super built-up  Area,other,1186.0,2.0,2.0,3.0,55.33
Super built-up  Area,other,1350.0,2.0,2.0,3.0,47.24
Super built-up  Area,other,1800.0,3.0,2.0,3.0,140.0
Built-up  Area,other,1600.0,3.0,3.0,3.0,79.0
Built-up  Area,Chandan Nagar,1000.0,2.0,1.0,2.0,35.0
Super built-up  Area,other,2275.0,3.0,3.0,3.0,285.0
Super built-up  Area,other,1305.0,2.0,1.0,3.0,59.0
Super built-up  Area,other,1740.0,3.0,1.0,3.0,150.0
Built-up  Area,other,900.0,2.0,1.0,2.0,90.0
Built-up  Area,other,1567.0,3.0,0.0,2.0,140.0
Super built-up  Area,other,1082.0,2.0,1.0,3.0,45.5
Built-up  Area,other,1050.0,2.0,1.0,2.0,80.0
Super built-up  Area,other,1200.0,2.0,1.0,2.0,56.0
Built-up  Area,Fergusson College Road,3500.0,4.0,2.0,3.0,185.0
Super built-up  Area,other,1220.0,2.0,2.0,2.0,52.0
Super built-up  Area,other,1970.0,3.0,2.0,3.0,164.0
Super built-up  Area,other,2665.0,3.0,1.0,3.0,350.0
Built-up  Area,Ghorpadi,2130.0,4.0,0.0,4.0,120.0
Super built-up  Area,other,1749.0,3.0,2.0,3.0,120.0
Super built-up  Area,Gultekdi,1260.0,2.0,1.0,2.0,108.0
Super built-up  Area,other,1170.0,2.0,2.0,2.0,120.0
Super built-up  Area,Hadapsar Industrial Estate,1670.0,3.0,2.0,3.0,75.0
Super built-up  Area,Hingne Khurd,2264.0,3.0,2.0,3.0,168.0
Super built-up  Area,other,1100.0,2.0,2.0,2.0,55.0
Super built-up  Area,other,674.0,1.0,1.0,2.0,19.9
Super built-up  Area,other,1320.0,2.0,1.0,2.0,160.0
Super built-up  Area,other,1125.0,2.0,2.0,2.0,65.0
Super built-up  Area,other,1125.0,2.0,2.0,2.0,44.5
Super built-up  Area,Khadki,700.0,2.0,1.0,2.0,29.0
Built-up  Area,Kharadi,1300.0,2.0,1.0,3.0,75.0
Super built-up  Area,Kondhwa,1600.0,3.0,2.0,3.0,83.0
Super built-up  Area,Kondhwa Budruk,1052.0,2.0,1.0,3.0,60.0
Super built-up  Area,Koregaon Park,1130.0,2.0,2.0,2.0,36.0
Super built-up  Area,other,2200.0,3.0,3.0,3.0,220.0
Built-up  Area,other,1500.0,2.0,1.0,3.0,63.0
Super built-up  Area,other,1350.0,3.0,1.0,3.0,47.25
Super built-up  Area,other,1230.0,2.0,2.0,3.0,52.0
Super built-up  Area,Mangalwar peth,1520.0,2.0,2.0,3.0,85.0
Super built-up  Area,Manik Bagh,525.0,1.0,1.0,1.0,26.25
Super built-up  Area,Market yard,1040.0,2.0,1.0,2.0,61.0
Built-up  Area,other,1300.0,2.0,1.0,3.0,67.0
Super built-up  Area,other,2690.0,4.0,3.0,4.0,201.0
Super built-up  Area,Mundhawa,780.0,1.0,1.0,1.0,70.0
Super built-up  Area,other,1140.0,2.0,1.0,2.0,51.2
Super built-up  Area,other,1225.0,3.0,1.0,3.0,33.08
Built-up  Area,Narayan Peth,646.0,1.0,0.0,1.0,25.84
Super built-up  Area,other,1600.0,3.0,1.0,3.0,150.0
Super built-up  Area,other,1890.0,4.0,3.0,3.0,125.0
Built-up  Area,other,1050.0,2.0,1.0,2.0,34.0
Super built-up  Area,other,1458.0,2.0,2.0,3.0,62.0
Super built-up  Area,other,1970.0,3.0,2.0,3.0,160.0
Plot  Area,other,1808.0,4.0,0.0,3.0,80.0
Built-up  Area,other,1007.0,2.0,1.0,2.0,67.0
Super built-up  Area,Rasta Peth,1105.0,2.0,1.0,2.0,50.0
Super built-up  Area,other,1700.0,3.0,3.0,3.0,150.0
Super built-up  Area,Sadashiv Peth,1170.0,2.0,3.0,2.0,50.0
Built-up  Area,other,1080.0,2.0,3.0,2.0,45.0
Super built-up  Area,other,1150.0,2.0,1.0,3.0,62.0
Super built-up  Area,Sasson Road,1200.0,2.0,1.0,2.0,57.9
Super built-up  Area,other,1200.0,2.0,1.0,2.0,54.0
Super built-up  Area,other,1656.0,3.0,2.0,3.0,75.0
Super built-up  Area,other,1040.0,2.0,2.0,2.0,50.0
Super built-up  Area,other,1085.0,2.0,2.0,2.0,33.7
Super built-up  Area,other,1215.0,2.0,2.0,3.0,49.75
Built-up  Area,Somwar Peth,2150.0,4.0,2.0,4.0,115.0
Super built-up  Area,other,1210.0,2.0,1.0,2.0,77.0
Built-up  Area,other,1050.0,2.0,1.0,2.0,55.0
Super built-up  Area,other,1920.0,3.0,2.0,3.0,150.0
Super built-up  Area,other,1250.0,2.0,1.0,3.0,50.0
Super built-up  Area,Vishrant Wadi,947.55,2.0,1.0,2.0,80.0
Built-up  Area,other,1421.0,2.0,1.0,2.0,90.0
Super built-up  Area,other,1425.0,2.0,2.0,3.0,74.31
Super built-up  Area,Warje,1162.0,2.0,1.0,2.0,58.0
Super built-up  Area,Yerawada,905.0,1.0,1.0,1.0,60.0
Super built-up  Area,Alandi Road,914.0,2.0,1.0,2.0,32.0
Built-up  Area,other,1258.0,2.0,0.0,2.0,58.0
Plot  Area,other,3500.0,4.0,1.0,4.0,289.0
Super built-up  Area,other,1537.0,2.0,3.0,3.0,70.0
Super built-up  Area,Baner road,1230.0,2.0,2.0,3.0,53.51
Plot  Area,Bhandarkar Road,2400.0,5.0,2.0,6.0,300.0
Super built-up  Area,Bhavani Peth,2250.0,3.0,1.0,3.0,200.0
Plot  Area,other,2000.0,4.0,1.0,4.0,69.0
Super built-up  Area,other,3000.0,4.0,3.0,8.0,130.0
Built-up  Area,other,2600.0,4.0,0.0,4.0,325.0
Built-up  Area,other,3200.0,3.0,2.0,4.0,250.0
Built-up  Area,other,950.0,2.0,0.0,2.0,32.0
Super built-up  Area,Chandan Nagar,4000.0,4.0,0.0,4.0,200.0
Super built-up  Area,other,1282.0,2.0,1.0,3.0,48.72
Built-up  Area,other,1304.0,2.0,0.0,2.0,111.0
Super built-up  Area,other,2100.0,3.0,2.0,3.0,200.0
Built-up  Area,other,1220.0,2.0,2.0,3.0,49.0
Super built-up  Area,other,1636.0,3.0,2.0,3.0,85.0
Built-up  Area,other,1415.0,3.0,1.0,3.0,65.0
Super built-up  Area,other,1728.0,3.0,2.0,3.0,125.0
Super built-up  Area,Fergusson College Road,1680.0,3.0,3.0,3.0,125.0
Super built-up  Area,other,1235.0,2.0,1.0,2.0,140.0
Built-up  Area,other,3990.0,4.0,1.0,4.0,260.0
Built-up  Area,Ghorpadi,1495.0,2.0,2.0,2.0,83.0
Plot  Area,other,1500.0,5.0,1.0,5.0,175.0
Super built-up  Area,Gultekdi,2501.0,3.0,3.0,3.0,138.0
Carpet  Area,other,381.0,1.0,0.0,1.0,28.0
Super built-up  Area,other,3301.8,5.0,2.0,4.0,570.0
Super built-up  Area,Hadapsar Industrial Estate,2002.0,3.0,2.0,3.0,120.0
Built-up  Area,Hingne Khurd,3200.0,3.0,0.0,3.0,260.0
Plot  Area,other,1200.0,2.0,2.0,2.0,70.0
Plot  Area,other,1500.0,3.0,0.0,4.0,235.0
Plot  Area,other,1942.0,3.0,0.0,3.0,90.0
Built-up  Area,other,660.0,1.0,0.0,1.0,95.0
Plot  Area,other,1200.0,6.0,2.0,4.0,170.0
Built-up  Area,other,1450.0,3.0,2.0,3.0,90.0
Super built-up  Area,Khadki,1039.0,2.0,1.0,2.0,50.0
Super built-up  Area,Kharadi,1210.0,2.0,1.0,2.0,80.0
Super built-up  Area,Kondhwa,995.0,1.0,1.0,2.0,24.88
Built-up  Area,Kondhwa Budruk,1620.0,3.0,2.0,3.0,90.0
Built-up  Area,other,3204.0,4.0,3.0,3.0,395.0
Built-up  Area,Koregaon Park,3408.0,3.0,3.0,3.0,260.0
Built-up  Area,other,1314.0,2.0,3.0,2.0,55.0
Super built-up  Area,other,945.0,2.0,1.0,2.0,33.0
Built-up  Area,other,1374.0,3.0,2.0,3.0,72.0
Built-up  Area,other,1603.0,3.0,3.0,3.0,113.0
Built-up  Area,other,1230.0,2.0,2.0,3.0,52.0
Super built-up  Area,Mangalwar peth,670.0,1.0,1.0,1.0,50.0
Super built-up  Area,Manik Bagh,1864.0,3.0,2.0,4.0,105.0
Built-up  Area,Market yard,2500.0,3.0,2.0,3.0,100.0
Super built-up  Area,other,1625.0,2.0,2.0,3.0,54.0
Super built-up  Area,other,1186.0,2.0,3.0,2.0,55.0
Super built-up  Area,other,770.0,1.0,1.0,2.0,39.9
Super built-up  Area,other,1085.0,2.0,1.0,2.0,45.0
Super built-up  Area,Narayan Peth,3754.0,6.0,2.0,4.0,480.0
Super built-up  Area,other,1893.0,3.0,2.0,3.0,115.0
Super built-up  Area,other,1496.0,2.0,3.0,3.0,78.0
Super built-up  Area,Parvati Darshan,1305.0,3.0,1.0,3.0,33.28
Super built-up  Area,other,1550.0,2.0,2.0,3.0,82.0
Super built-up  Area,Paud Road,1200.0,2.0,1.0,3.0,58.17
Super built-up  Area,other,1494.0,2.0,2.0,3.0,94.55
Super built-up  Area,other,1286.0,2.0,2.0,2.0,69.0
Super built-up  Area,Rasta Peth,1860.0,3.0,2.0,3.0,95.0
Super built-up  Area,Sadashiv Peth,1243.0,2.0,2.0,2.0,45.0
Super built-up  Area,other,1200.0,2.0,2.0,2.0,75.0
Super built-up  Area,other,1044.0,2.0,2.0,2.0,32.0
Super built-up  Area,Sasson Road,1040.0,2.0,1.0,2.0,41.59
Super built-up  Area,other,1125.0,2.0,2.0,2.0,36.94
Super built-up  Area,other,1278.0,2.0,2.0,3.0,59.0
Super built-up  Area,other,2400.0,6.0,0.0,6.0,98.0
Super built-up  Area,other,1250.0,2.0,1.0,2.0,43.0
Plot  Area,other,2400.0,6.0,3.0,5.0,125.0
Plot  Area,Somwar Peth,4166.0,5.0,0.0,5.0,560.0
Super built-up  Area,Swargate,1210.0,2.0,2.0,2.0,75.0
Super built-up  Area,other,1200.0,3.0,2.0,4.0,110.0
Super built-up  Area,other,1157.0,2.0,1.0,3.0,57.84
Super built-up  Area,other,1185.0,2.0,1.0,2.0,51.15
Super built-up  Area,other,1450.0,3.0,3.0,3.0,100.0
Super built-up  Area,other,1859.0,3.0,2.0,3.0,121.0
Super built-up  Area,other,900.0,1.0,1.0,2.0,25.0
Super built-up  Area,other,1305.0,3.0,1.0,3.0,60.0
Built-up  Area,other,1200.0,2.0,2.0,3.0,100.0
Super built-up  Area,Warje,784.0,1.0,0.0,1.0,35.285
Super built-up  Area,Alandi Road,1150.0,2.0,0.0,2.0,36.8
Built-up  Area,other,1806.0,3.0,3.0,3.0,85.0
Super built-up  Area,other,1027.0,2.0,2.0,2.0,42.0
Super built-up  Area,other,1002.0,2.0,1.0,2.0,40.08
Super built-up  Area,other,1220.0,2.0,1.0,3.0,36.21
Super built-up  Area,other,1109.0,2.0,1.0,2.0,35.22
Built-up  Area,other,1002.0,2.0,1.0,2.0,40.08
Super built-up  Area,Baner road,1308.0,2.0,1.0,2.0,89.04
Super built-up  Area,Bhandarkar Road,1232.0,2.0,1.0,2.0,69.6
Super built-up  Area,Bhavani Peth,1027.0,2.0,2.0,2.0,44.0
Built-up  Area,other,1250.0,2.0,2.0,2.0,65.0
Super built-up  Area,other,1255.0,2.0,1.0,2.0,53.87
Built-up  Area,other,1434.0,3.0,3.0,3.0,84.0
Built-up  Area,Chandan Nagar,925.0,2.0,2.0,2.0,30.0
Super built-up  Area,other,1858.0,3.0,1.0,3.0,123.0
Built-up  Area,other,1205.0,2.0,1.0,2.0,70.0
Plot  Area,other,1500.0,3.0,2.0,3.0,90.0
Super built-up  Area,other,1020.0,2.0,2.0,2.0,48.95
Super built-up  Area,other,965.0,2.0,1.0,2.0,56.0
Plot  Area,other,1800.0,6.0,3.0,5.0,270.0
Super built-up  Area,Fergusson College Road,1636.0,2.0,2.0,2.0,82.89
Super built-up  Area,other,1724.0,3.0,1.0,3.0,125.0
Super built-up  Area,other,1216.0,2.0,1.0,2.0,67.0
Super built-up  Area,other,654.0,1.0,1.0,1.0,36.25
Built-up  Area,Ghorpadi,2460.0,7.0,2.0,4.0,80.0
Super built-up  Area,other,1190.0,2.0,2.0,2.0,41.0
Super built-up  Area,other,1636.0,3.0,2.0,3.0,92.0
Super built-up  Area,other,1195.0,2.0,2.0,2.0,73.0
Super built-up  Area,Hadapsar Industrial Estate,2400.0,3.0,3.0,3.0,251.0
Super built-up  Area,Hingne Khurd,1250.0,2.0,1.0,2.0,67.0
Super built-up  Area,other,1452.0,3.0,0.0,3.0,90.0
Super built-up  Area,other,1546.0,3.0,1.0,3.0,95.0
Built-up  Area,other,3385.5,6.0,0.0,4.0,142.0
Plot  Area,other,1440.0,3.0,1.0,3.0,275.0
Plot  Area,other,2260.0,3.0,1.0,2.0,80.0
Plot  Area,other,2700.0,3.0,2.0,4.0,90.0
Super built-up  Area,other,1475.0,2.0,2.0,2.0,171.0
Built-up  Area,Khadki,3000.0,3.0,2.0,4.0,150.0
Built-up  Area,Kharadi,375.0,1.0,0.0,1.0,26.0
Super built-up  Area,Kondhwa,1007.0,2.0,1.0,2.0,66.0
Super built-up  Area,Koregaon Park,1020.0,2.0,3.0,2.0,47.0
Super built-up  Area,other,1000.0,2.0,0.0,2.0,150.0
Plot  Area,other,800.0,3.0,1.0,2.0,59.5
Super built-up  Area,other,1125.0,2.0,3.0,2.0,55.0
Built-up  Area,Mangalwar peth,909.0,2.0,1.0,3.0,43.0
Built-up  Area,Manik Bagh,2850.0,5.0,0.0,4.0,240.0
Super built-up  Area,Market yard,1400.0,2.0,3.0,2.0,85.0
Super built-up  Area,other,1152.0,2.0,2.0,2.0,61.0
Super built-up  Area,other,958.0,2.0,1.0,2.0,34.49
Super built-up  Area,Mundhawa,1150.0,2.0,2.0,2.0,55.0
Super built-up  Area,other,2990.0,5.0,1.0,3.0,173.0
Super built-up  Area,other,1310.0,2.0,2.0,2.0,85.0
Super built-up  Area,Narayan Peth,1590.0,2.0,2.0,3.0,126.0
Super built-up  Area,other,1645.0,3.0,2.0,3.0,110.0
Built-up  Area,other,1800.0,2.0,2.0,3.0,100.0
Super built-up  Area,other,1795.0,3.0,2.0,3.0,150.0
Super built-up  Area,Parvati Darshan,1100.0,2.0,3.0,2.0,35.0
Super built-up  Area,other,777.0,1.0,0.0,1.0,38.535
Super built-up  Area,Paud Road,925.0,2.0,2.0,2.0,70.0
Super built-up  Area,other,1542.14,3.0,3.0,3.0,120.0
Plot  Area,other,3746.0,6.0,1.0,4.0,375.0
Super built-up  Area,other,1430.0,2.0,2.0,3.0,54.0
Super built-up  Area,Rasta Peth,1020.0,2.0,2.0,2.0,55.0
Super built-up  Area,Sadashiv Peth,1140.0,2.0,1.0,2.0,32.92
Built-up  Area,other,967.0,2.0,1.0,3.0,45.0
Super built-up  Area,other,2470.0,4.0,2.0,4.0,203.0
Built-up  Area,Sasson Road,850.0,1.0,0.0,2.0,35.5
Super built-up  Area,other,1100.0,2.0,2.0,2.0,32.0
Super built-up  Area,other,1697.0,3.0,2.0,3.0,110.0
Super built-up  Area,other,1250.0,2.0,2.0,2.0,47.0
Super built-up  Area,other,1120.0,2.0,2.0,2.0,50.0
Plot  Area,other,1200.0,4.0,0.0,4.0,95.0
Plot  Area,other,5100.0,6.0,3.0,5.0,375.0
Super built-up  Area,Swargate,1200.0,2.0,1.0,2.0,52.0
Super built-up  Area,other,1100.0,2.0,1.0,2.0,44.0
Super built-up  Area,other,1417.0,2.0,2.0,3.0,76.0
Built-up  Area,other,1492.0,3.0,1.0,3.0,88.0
Super built-up  Area,other,1498.0,3.0,3.0,3.0,79.15
Built-up  Area,other,3500.0,2.0,1.0,4.0,350.0
Super built-up  Area,Vishrant Wadi,1010.0,2.0,1.0,2.0,48.27
Super built-up  Area,other,1255.0,2.0,2.0,2.0,53.5
Super built-up  Area,other,1050.0,2.0,1.0,2.0,35.0
Super built-up  Area,other,1847.0,3.0,2.0,3.0,125.0
Super built-up  Area,Warje,1200.0,2.0,2.0,2.0,55.0
Super built-up  Area,Yerawada,982.0,2.0,2.0,2.0,37.28
Super built-up  Area,Alandi Road,2144.6,4.0,2.0,3.0,145.0
Super built-up  Area,other,750.0,2.0,1.0,2.0,36.5
Super built-up  Area,other,919.0,2.0,2.0,2.0,35.0
Super built-up  Area,other,1087.0,2.0,1.0,2.0,54.3
Built-up  Area,other,1480.0,3.0,2.0,3.0,74.0
Built-up  Area,other,1180.0,2.0,2.0,2.0,52.0
Super built-up  Area,other,2100.0,4.0,2.0,3.0,255.0
Super built-up  Area,Baner road,1221.0,3.0,2.0,3.0,65.0
Super built-up  Area,Bhandarkar Road,1194.0,2.0,2.0,2.0,46.0
Built-up  Area,Bhavani Peth,2072.0,3.0,2.0,3.0,122.0
Built-up  Area,other,1600.0,3.0,2.0,3.0,69.0
Super built-up  Area,other,2200.0,3.0,2.0,3.0,98.0
Super built-up  Area,other,1640.0,3.0,3.0,3.0,220.0
Super built-up  Area,other,1253.0,2.0,2.0,2.0,81.5
Super built-up  Area,other,1061.0,2.0,1.0,2.0,54.92
Super built-up  Area,Chandan Nagar,1950.0,3.0,2.0,3.0,115.0
Built-up  Area,other,1250.0,2.0,2.0,2.0,68.0
Super built-up  Area,other,1585.0,2.0,3.0,3.0,80.0
Super built-up  Area,other,1452.0,3.0,3.0,3.0,60.98
Super built-up  Area,other,1015.0,2.0,2.0,2.0,37.0
Super built-up  Area,other,2464.5,6.0,0.0,4.0,118.0
Super built-up  Area,other,1125.0,2.0,2.0,2.0,56.8
Super built-up  Area,other,1116.0,2.0,2.0,2.0,40.0
Built-up  Area,other,400.0,1.0,0.0,1.0,35.0
Super built-up  Area,Fergusson College Road,4000.0,4.0,2.0,4.0,325.0
Super built-up  Area,other,3900.0,4.0,2.0,4.0,410.0
Super built-up  Area,other,1300.0,2.0,2.0,2.0,100.0
Super built-up  Area,other,1419.0,2.0,1.0,2.0,60.42
Super built-up  Area,Ghorpadi,1310.0,2.0,1.0,3.0,55.0
Super built-up  Area,other,2072.0,4.0,2.0,3.0,152.0
Built-up  Area,Gultekdi,1240.0,2.0,1.0,2.0,58.58
Built-up  Area,other,1565.0,3.0,2.0,3.0,98.91
Super built-up  Area,other,1820.0,3.0,2.0,3.0,89.0
Plot  Area,Hadapsar Industrial Estate,2500.0,3.0,1.0,3.0,88.0
Plot  Area,Hingne Khurd,3657.0,5.0,0.0,5.0,310.0
Super built-up  Area,other,1245.0,2.0,1.0,2.0,62.0
Super built-up  Area,other,1315.0,3.0,1.0,3.0,65.0
Super built-up  Area,other,1410.0,2.0,2.0,3.0,73.0
Super built-up  Area,other,1375.0,2.0,1.0,2.0,60.0
Super built-up  Area,other,1299.0,2.0,2.0,2.0,95.0
Super built-up  Area,other,993.0,2.0,3.0,2.0,45.5
Plot  Area,other,1200.0,3.0,0.0,2.0,45.0
Super built-up  Area,Khadki,985.0,2.0,1.0,2.0,156.0
Built-up  Area,Kharadi,2400.0,5.0,3.0,4.0,180.0
Super built-up  Area,Kondhwa,1255.0,2.0,1.0,3.0,95.0
Super built-up  Area,Kondhwa Budruk,1655.0,3.0,2.0,3.0,131.0
Super built-up  Area,other,2830.0,5.0,3.0,4.0,190.0
Super built-up  Area,Koregaon Park,6000.0,1.0,1.0,1.0,276.0
Super built-up  Area,other,825.0,2.0,1.0,1.0,40.0
Super built-up  Area,other,1634.0,3.0,1.0,3.0,111.0
Super built-up  Area,other,1222.0,2.0,2.0,2.0,80.0
Super built-up  Area,Mangalwar peth,1500.0,3.0,2.0,3.0,63.0
Super built-up  Area,Manik Bagh,1890.0,4.0,2.0,3.0,100.0
Built-up  Area,Market yard,3750.0,6.0,2.0,4.0,375.0
Super built-up  Area,other,850.0,1.0,1.0,2.0,39.5
Super built-up  Area,other,1295.0,2.0,3.0,2.0,78.5
Super built-up  Area,Mundhawa,1320.0,2.0,1.0,2.0,100.0
Built-up  Area,Narayan Peth,3000.0,3.0,3.0,4.0,170.0
Built-up  Area,other,1197.0,2.0,1.0,2.0,82.0
Super built-up  Area,other,1320.0,2.0,3.0,3.0,60.0
Super built-up  Area,Parvati Darshan,840.0,1.0,1.0,1.0,57.6
Super built-up  Area,other,640.0,1.0,0.0,1.0,19.83
Super built-up  Area,Paud Road,1693.0,3.0,1.0,3.0,71.38
Super built-up  Area,other,1000.0,2.0,1.0,2.0,62.0
Built-up  Area,other,1305.0,2.0,1.0,2.0,70.0
Built-up  Area,other,450.0,1.0,1.0,1.0,18.0
Super built-up  Area,Rasta Peth,705.0,1.0,1.0,1.0,57.0
Built-up  Area,Sadashiv Peth,4800.0,5.0,2.0,5.0,150.0
Built-up  Area,other,5000.0,5.0,0.0,4.0,600.0
Plot  Area,other,5000.0,4.0,3.0,4.0,425.0
Built-up  Area,Sasson Road,1991.0,3.0,2.0,3.0,104.0
Super built-up  Area,other,1779.0,3.0,2.0,3.0,90.0
Plot  Area,other,10200.0,4.0,1.0,4.0,1250.0
Super built-up  Area,other,870.0,2.0,2.0,2.0,38.0
Super built-up  Area,other,1595.0,3.0,2.0,3.0,120.0
Super built-up  Area,other,525.0,1.0,1.0,1.0,26.0
Plot  Area,Somwar Peth,2400.0,4.0,2.0,6.0,420.0
Super built-up  Area,Swargate,2000.0,4.0,2.0,3.0,138.0
Super built-up  Area,other,1614.0,3.0,2.0,3.0,93.0
Super built-up  Area,other,1200.0,2.0,3.0,2.0,40.0
Built-up  Area,other,1150.0,3.0,3.0,3.0,46.0
